ComplaintID,CustomerID,ComplaintDate,Channel,ComplaintText,Category,ResolutionTime,Resolved,SatisfactionScore
1,176,2023-04-13,Chat,Long waiting time for assistance.,Customer Support,75,Yes,1
2,23,2024-03-11,Phone,Couldn't get through to customer support.,Customer Support,69,Yes,1
3,90,2025-05-10,Email,I was overcharged.,Other,51,No,3
4,93,2023-09-28,Chat,The support agent was rude.,Customer Support,81,Yes,3
5,8,2023-04-17,Social Media,Payment did not go through.,Payment,11,Yes,1
6,29,2023-03-13,Chat,Repeated issues with the same problem.,Other,53,No,2
7,171,2024-12-01,Chat,Long waiting time for assistance.,Customer Support,62,No,1
8,53,2023-01-21,Chat,The product quality is poor.,Product Quality,27,Yes,3
9,134,2024-09-06,Social Media,Couldn't get through to customer support.,Customer Support,93,Yes,3
10,24,2023-05-02,Social Media,Received the wrong item.,Delivery Delay,11,Yes,1
11,120,2024-04-11,Chat,My order hasn't arrived on time.,Delivery Delay,3,Yes,2
12,124,2023-08-03,Chat,I was overcharged.,Other,49,Yes,2
13,142,2023-11-27,Chat,Package arrived damaged.,Delivery Delay,10,Yes,1
14,52,2024-04-03,Social Media,The support agent was rude.,Customer Support,54,No,2
15,70,2023-03-29,Chat,My order hasn't arrived on time.,Delivery Delay,28,No,3
16,4,2024-01-08,Social Media,Package arrived damaged.,Delivery Delay,44,Yes,2
17,186,2023-04-10,Chat,I was overcharged.,Other,64,No,2
18,116,2025-05-21,Social Media,Repeated issues with the same problem.,Other,8,Yes,1
19,37,2024-10-25,Email,My order hasn't arrived on time.,Delivery Delay,60,Yes,2
20,48,2023-05-11,Chat,Couldn't get through to customer support.,Customer Support,87,Yes,2
21,122,2024-10-23,Chat,Tracking number doesn't work.,Delivery Delay,63,Yes,2
22,39,2023-11-05,Chat,No response to my email.,Customer Support,92,No,1
23,92,2025-02-08,Chat,Tracking number doesn't work.,Delivery Delay,61,Yes,2
24,66,2023-12-10,Chat,Long waiting time for assistance.,Customer Support,89,Yes,3
25,13,2024-05-06,Chat,Payment did not go through.,Payment,15,Yes,1
26,194,2024-02-18,Social Media,Website is not user-friendly.,Other,57,Yes,3
27,60,2025-03-16,Chat,My order hasn't arrived on time.,Delivery Delay,56,Yes,3
28,126,2024-01-21,Social Media,Refund has not been processed.,Payment,5,No,3
29,169,2023-07-11,Chat,Tracking number doesn't work.,Delivery Delay,51,Yes,1
30,32,2025-08-13,Social Media,Repeated issues with the same problem.,Delivery Delay,63,Yes,1
31,180,2023-10-04,Chat,I want to return my order but the process is difficult.,Returns,28,Yes,1
32,133,2023-06-10,Chat,No response to my email.,Customer Support,93,Yes,3
33,195,2024-04-04,Chat,Long waiting time for assistance.,Customer Support,63,No,2
34,66,2023-11-10,Chat,The support agent was rude.,Customer Support,94,No,1
35,78,2023-01-22,Chat,Package arrived damaged.,Delivery Delay,51,Yes,1
36,180,2023-09-10,Social Media,Refund has not been processed.,Payment,15,Yes,3
37,126,2025-01-17,Chat,Couldn't get through to customer support.,Customer Support,72,Yes,2
38,177,2025-05-06,Social Media,Couldn't get through to customer support.,Customer Support,94,No,1
39,29,2024-07-14,Social Media,Payment did not go through.,Payment,19,Yes,1
40,166,2024-04-19,Email,Payment did not go through.,Payment,2,Yes,2
41,70,2023-02-28,Social Media,Website is not user-friendly.,Delivery Delay,11,Yes,3
42,136,2024-05-25,Social Media,No response to my email.,Customer Support,81,Yes,2
43,187,2024-11-12,Email,I want to return my order but the process is difficult.,Returns,50,Yes,1
44,55,2024-04-20,Phone,The support agent was rude.,Customer Support,80,Yes,2
45,110,2024-11-30,Chat,I want to return my order but the process is difficult.,Returns,32,No,3
46,2,2025-02-21,Email,Received the wrong item.,Delivery Delay,24,No,1
47,154,2023-07-09,Chat,Long waiting time for assistance.,Customer Support,72,Yes,2
48,63,2025-08-15,Social Media,Payment did not go through.,Payment,14,No,3
49,17,2024-11-17,Chat,Website is not user-friendly.,Other,18,Yes,2
50,59,2025-08-15,Chat,I was overcharged.,Product Quality,9,Yes,1
51,88,2024-07-16,Social Media,The product quality is poor.,Product Quality,41,Yes,1
52,16,2025-05-25,Email,My order hasn't arrived on time.,Delivery Delay,45,Yes,2
53,58,2024-07-20,Social Media,My order hasn't arrived on time.,Delivery Delay,42,No,3
54,192,2023-09-01,Chat,I was overcharged.,Other,43,Yes,1
55,50,2025-04-11,Chat,The product quality is poor.,Product Quality,11,No,3
56,154,2024-05-19,Chat,Tracking number doesn't work.,Delivery Delay,66,Yes,2
57,17,2023-05-11,Social Media,I want to return my order but the process is difficult.,Returns,49,Yes,3
58,114,2024-04-29,Chat,The product quality is poor.,Product Quality,47,Yes,1
59,46,2025-03-29,Social Media,Website is not user-friendly.,Payment,47,No,1
60,106,2024-10-08,Chat,The support agent was rude.,Customer Support,88,Yes,1
61,127,2023-01-21,Social Media,The product quality is poor.,Product Quality,46,Yes,3
62,196,2025-04-20,Chat,Website is not user-friendly.,Returns,66,No,1
63,50,2023-06-16,Social Media,Long waiting time for assistance.,Customer Support,53,Yes,1
64,171,2023-10-01,Chat,I was overcharged.,Payment,6,Yes,2
65,118,2024-01-23,Chat,Payment did not go through.,Payment,13,Yes,2
66,176,2024-08-23,Chat,I was overcharged.,Other,16,Yes,1
67,68,2023-11-12,Email,Refund has not been processed.,Payment,17,No,1
68,147,2023-01-14,Chat,Couldn't get through to customer support.,Customer Support,91,No,1
69,153,2023-08-30,Social Media,Couldn't get through to customer support.,Customer Support,78,Yes,1
70,200,2025-02-15,Chat,No response to my email.,Customer Support,76,Yes,2
71,146,2023-12-12,Chat,I was overcharged.,Other,26,No,3
72,51,2024-07-18,Chat,Received the wrong item.,Delivery Delay,47,No,2
73,146,2025-06-16,Chat,I want to return my order but the process is difficult.,Returns,44,Yes,2
74,112,2023-12-06,Social Media,The support agent was rude.,Customer Support,76,Yes,3
75,186,2023-04-02,Chat,Refund has not been processed.,Payment,6,No,3
76,64,2024-01-02,Chat,Refund has not been processed.,Payment,2,Yes,3
77,199,2025-08-13,Chat,Payment did not go through.,Payment,2,No,1
78,185,2024-03-30,Phone,The product quality is poor.,Product Quality,40,Yes,3
79,145,2024-03-03,Chat,I want to return my order but the process is difficult.,Returns,28,Yes,1
80,59,2024-05-23,Chat,I was overcharged.,Delivery Delay,71,Yes,2
81,195,2025-02-14,Social Media,My order hasn't arrived on time.,Delivery Delay,12,Yes,2
82,143,2025-07-31,Social Media,Refund has not been processed.,Payment,8,Yes,3
83,100,2023-02-04,Social Media,Website is not user-friendly.,Other,39,Yes,1
84,26,2023-07-25,Social Media,My order hasn't arrived on time.,Delivery Delay,53,Yes,2
85,176,2023-03-22,Phone,I was overcharged.,Other,36,Yes,3
86,14,2025-07-20,Email,Received the wrong item.,Delivery Delay,38,Yes,1
87,122,2024-07-15,Phone,The product quality is poor.,Product Quality,12,No,3
88,9,2025-05-21,Social Media,The product quality is poor.,Product Quality,32,No,3
89,7,2024-01-23,Chat,The support agent was rude.,Customer Support,55,Yes,3
90,183,2023-01-02,Social Media,Refund has not been processed.,Payment,11,No,3
91,140,2024-01-25,Chat,Payment did not go through.,Payment,19,No,2
92,145,2024-07-19,Chat,Long waiting time for assistance.,Customer Support,67,Yes,2
93,108,2023-04-16,Chat,Tracking number doesn't work.,Delivery Delay,27,Yes,1
94,136,2025-02-10,Email,Tracking number doesn't work.,Delivery Delay,69,Yes,2
95,91,2025-04-01,Social Media,Repeated issues with the same problem.,Customer Support,39,No,1
96,124,2024-04-21,Social Media,Couldn't get through to customer support.,Customer Support,61,Yes,2
97,170,2024-12-03,Chat,Website is not user-friendly.,Product Quality,38,Yes,1
98,165,2024-02-06,Social Media,My order hasn't arrived on time.,Delivery Delay,47,Yes,1
99,148,2024-12-30,Chat,Repeated issues with the same problem.,Other,8,Yes,1
100,1,2024-07-09,Chat,Long waiting time for assistance.,Customer Support,68,Yes,3
101,9,2023-06-11,Email,Received the wrong item.,Delivery Delay,35,Yes,2
102,111,2023-07-21,Chat,Long waiting time for assistance.,Customer Support,79,Yes,2
103,24,2025-08-15,Social Media,Package arrived damaged.,Delivery Delay,70,Yes,3
104,125,2023-09-27,Email,Couldn't get through to customer support.,Customer Support,67,Yes,1
105,162,2025-05-12,Social Media,The product quality is poor.,Product Quality,8,Yes,1
106,36,2025-03-26,Social Media,My order hasn't arrived on time.,Delivery Delay,3,Yes,3
107,4,2023-09-28,Email,I want to return my order but the process is difficult.,Returns,54,Yes,3
108,157,2024-03-31,Chat,Refund has not been processed.,Payment,10,Yes,2
109,87,2024-04-06,Social Media,Received the wrong item.,Delivery Delay,6,No,3
110,144,2024-12-27,Social Media,I want to return my order but the process is difficult.,Returns,34,No,2
111,8,2023-09-09,Chat,Payment did not go through.,Payment,23,Yes,1
112,91,2024-12-02,Chat,Repeated issues with the same problem.,Product Quality,65,Yes,3
113,39,2023-10-23,Social Media,Refund has not been processed.,Payment,18,Yes,2
114,58,2024-12-25,Chat,My order hasn't arrived on time.,Delivery Delay,57,Yes,1
115,140,2024-12-20,Email,Refund has not been processed.,Payment,19,No,2
116,172,2025-01-18,Social Media,Couldn't get through to customer support.,Customer Support,92,Yes,1
117,4,2023-12-04,Chat,The support agent was rude.,Customer Support,63,Yes,2
118,25,2025-05-28,Email,I was overcharged.,Payment,8,Yes,3
119,198,2023-02-22,Chat,Couldn't get through to customer support.,Customer Support,57,No,1
120,67,2025-03-02,Phone,Payment did not go through.,Payment,4,Yes,3
121,167,2025-07-10,Social Media,Website is not user-friendly.,Payment,71,Yes,2
122,118,2023-08-05,Chat,I want to return my order but the process is difficult.,Returns,68,Yes,3
123,24,2025-02-02,Social Media,Package arrived damaged.,Delivery Delay,53,Yes,1
124,6,2023-07-07,Chat,No response to my email.,Customer Support,67,No,2
